mtime,AE,AJ,AT,BJ,BK,BL,BS,BY,CO,CP,CV,DI,DS,EN,ER,ET,GP,GR,GU,HN,HS,KZ,LM,LQ,LX,MU,NT,NW,OR,OZ,PS,QZ,R,TZ,W
2021-11-01T02:15,153275,182479,176781,153591,169157,164957,100889,181442,139225,120170,151554,97540,112175,187611,110459,163370,156828,151641,139668,157409,143983,63594,130245,154224,137068,151023,70902,139733,154006,214033,97010,132899,171747,208099,127279
2021-11-01T02:20,135769,147039,182774,152216,149969,164113,141712,195258,144218,96891,78448,121488,107002,152762,134642,188143,206492,140021,176027,163233,175091,132398,119633,189125,156016,193972,96748,59798,174754,189111,129631,200673,94826,189889,161867
2021-11-01T02:25,168738,211989,225447,146394,104233,162946,137088,176302,118626,91406,211257,91076,168781,145474,162401,134950,158833,181134,177564,209801,197136,65842,157592,135311,117828,207189,85182,111635,182607,153371,78824,183533,103613,196431,96780
2021-11-01T02:30,189813,140223,252558,157223,146371,161286,153727,164447,122183,80532,151234,92677,144840,212921,141976,111212,178602,160212,154344,155685,160628,122566,123831,158224,112651,190052,94652,70494,150128,134229,104555,143184,113016,194575,126503
2021-11-01T02:35,92647,74877,113244,78095,83078,79784,98724,115198,86329,71338,87140,70922,93317,101175,67634,75171,143909,101750,95397,132721,90656,68964,67565,106930,78574,109567,60049,0,52114,112966,99470,74949,71215,121538,80452
2021-11-01T02:40,130923,154305,230838,92025,170458,186581,127258,159105,157457,96989,154927,71376,202478,148739,168856,138514,204811,188458,193880,214358,172727,124550,148370,188780,204070,206377,93939,143414,182776,232452,126829,190210,138697,197434,136939
2021-11-01T02:45,193145,151750,197132,120037,141989,97596,133373,158673,127505,120688,127552,106514,155942,131025,123429,101548,165700,155243,102861,198562,136222,71634,112199,137165,141244,205015,79656,123898,98720,111479,104832,128787,100077,145470,89710
2021-11-01T02:50,65473,100377,106985,54456,95255,86767,96813,117158,88915,68324,55483,32285,90760,77955,76508,79763,87557,84506,104225,78596,78091,56704,67311,99362,84300,114599,48558,64790,82521,119032,58905,132509,99956,113443,63657
2021-11-01T02:55,203291,208719,169580,117018,126577,175308,144284,210303,112386,108867,160234,97298,116125,197766,96225,98040,197033,208795,127721,140381,173672,112477,123546,155208,141309,196946,90701,100805,105687,168843,122873,145795,130300,159916,117828
2021-11-01T03:00,226814,206310,161240,139183,183535,104325,216133,129361,161724,79378,152103,88831,197211,219011,160899,154990,258953,248625,179038,174365,217953,113660,178543,198225,174199,165823,98301,157782,183282,213766,117294,250020,163875,179199,150100
2021-11-01T03:05,142919,121908,127063,71927,115908,120351,129421,190980,93477,90729,132415,69153,130323,133312,122894,0,173412,113439,114776,101656,135129,66470,98935,158083,157411,152079,42981,115516,106972,124573,73346,146331,127215,204511,98209
2021-11-01T03:10,186299,185078,234347,148819,128413,200459,130015,143000,126653,137076,151887,115068,156780,140388,101124,137107,172153,169779,196742,102814,161455,89740,134273,151497,186799,139844,91561,139504,140845,148394,117713,127845,131887,138674,131494
2021-11-01T03:15,202794,213388,254649,184755,208933,186334,101979,150794,134842,87063,166433,76756,162143,159423,131900,143038,182766,190679,249821,167817,188445,179007,118116,175133,143792,130155,76574,149483,156069,175626,122565,189258,119374,160430,140326
2021-11-01T03:20,174618,197452,230617,181266,149928,192042,214098,255956,187625,177954,163116,93009,196626,209165,108134,129631,263080,188311,210140,214694,208513,120064,100330,206034,216239,288579,46646,204822,216927,305418,150783,252841,185076,306695,121486
2021-11-01T03:25,76732,181268,229618,144732,154436,151874,177441,157999,158487,153609,174519,102202,124106,136682,135808,126132,186002,230699,204331,206713,167119,98184,108996,232462,186057,241665,75026,132824,180752,160415,119497,192551,178151,227863,95975
2021-11-01T03:30,250046,245045,194447,132146,221786,224371,203434,211396,197759,121956,209348,101586,201874,240500,142027,166338,170506,213219,237217,189743,203746,79936,180325,226255,206763,282580,69242,96746,143526,213499,197102,195533,177341,271138,187685
2021-11-01T03:35,200411,0,173278,120260,150739,184179,169074,182101,185669,132950,129104,100369,116995,165024,113721,123698,194545,148135,174587,150142,142951,91934,166841,213143,206698,224303,107271,127747,138569,178851,95438,125677,164503,193278,164228
2021-11-01T03:40,154983,176649,209325,179196,176215,136391,118142,146463,133808,145348,132083,106968,123858,205871,102925,128544,181098,192448,157292,148775,181266,84318,162186,184905,171712,228778,151151,132101,150929,160647,95807,203916,122452,206499,138502
2021-11-01T03:45,192395,105612,173333,132175,134602,160677,110313,199795,138895,107718,136615,70928,129978,161838,113377,153601,231416,168960,140917,156300,203597,64817,118004,144344,155091,200872,90850,129039,109584,198276,129949,213754,131055,113945,172121
2021-11-01T03:50,100493,120410,94874,87082,0,91624,79756,118568,94164,46721,109931,65999,77086,122274,91496,108631,117405,102091,111689,93859,102240,87880,71761,106937,114479,72154,66136,59049,60056,91010,59727,92757,87164,113347,86803
2021-11-01T03:55,119823,156810,177984,120123,132806,131137,115732,122594,144045,125198,115689,86774,153650,187892,155960,123534,186650,154726,206901,160648,124090,79667,149147,156610,171840,203970,122735,103944,139283,108351,124928,147792,126652,130200,109562
2021-11-01T04:00,129228,118070,206967,115056,123710,175498,132257,199799,113838,72951,92960,135493,103918,197303,170592,173124,180493,200104,214843,142541,156182,123093,144314,161523,144124,157192,86399,160739,105363,150961,112216,172527,140780,150842,159038
2021-11-01T04:05,161696,0,201504,118957,124146,129202,133188,148277,144479,142427,114636,84060,122809,134682,117149,113508,178173,147988,136532,93223,136278,76578,131166,187900,161576,151688,107316,57284,141815,131731,105045,153682,141724,150956,131870
2021-11-01T04:10,107219,124225,172043,130485,124304,119494,100275,121986,132743,101684,100701,78583,140126,115648,122512,99429,150200,135212,143275,132449,143200,92689,110684,144081,75645,139665,64472,143963,173551,66603,140553,132948,157376,161847,93555
2021-11-01T04:15,145850,155416,115148,106551,118611,124105,99980,144794,115938,128348,143264,60241,128835,135294,105912,88519,190868,172388,106393,174598,114934,81483,93340,156905,125666,148461,74565,103746,70791,133247,115080,118041,133317,126831,126756
2021-11-01T04:20,173721,267436,127852,134274,219687,236287,136471,254130,210904,132257,155841,102086,156254,243356,186249,179668,244696,215869,142412,217755,152708,95227,207104,168496,187562,237005,101515,164121,228414,190346,178671,197675,120114,205636,129364
2021-11-01T04:25,173048,98145,157645,139970,171410,176490,154108,190189,154384,120240,121542,118864,145569,207795,168674,134544,199229,184113,161193,175785,168415,107127,159229,175808,144990,118618,73427,105848,168826,145259,88858,144156,138625,184080,68146
2021-11-01T04:30,240742,213405,262593,137687,111555,180040,260450,250930,274999,162745,222113,180340,224264,184561,182147,208473,266484,180107,204455,207646,249524,131298,231258,233218,140729,214366,115172,204329,170564,223291,133617,250508,172778,203353,182635
2021-11-01T04:35,180530,162297,111748,118206,131354,180014,172158,188568,117794,106282,107151,84520,136274,149578,94086,124657,149639,123506,117745,155456,149751,85505,124460,138194,160804,161606,97937,116443,130305,0,131773,110334,140533,199321,111989
2021-11-01T04:40,177315,177818,142072,97860,107206,98944,114620,181277,151761,127838,120691,105479,172905,133171,145257,112213,192779,170702,149265,177892,121048,85697,73557,197171,104455,155695,81411,133387,139507,166237,125039,145111,107282,192693,103398
2021-11-01T04:45,117915,124507,189749,97879,118966,135647,121181,147080,95457,78354,107632,104478,147844,151139,114365,91520,121809,155425,151445,153313,122087,82100,93491,118707,169533,147863,87886,61165,0,145577,85127,139321,79810,175107,99745
2021-11-01T04:50,228360,202339,175503,111608,137154,198363,137700,195266,145696,112111,162979,118190,125813,173230,153354,141413,178628,206004,156264,216820,207370,110838,135278,192629,138103,210147,73713,129620,183796,163426,83701,154660,127160,161528,110114
2021-11-01T04:55,159153,194762,232329,100767,202932,195771,173997,184095,138180,108856,152182,69861,148051,144481,170161,171227,175772,158328,223461,201487,181453,166879,79936,173465,116808,203860,108175,108575,152637,153637,111308,178496,147519,195711,145795
2021-11-01T05:00,110688,115548,159127,107351,93046,130550,169747,158777,111482,82286,124588,87117,139263,118927,88752,114007,193217,127256,117915,152080,123895,91623,96786,115764,147901,114407,59382,94273,152988,138890,60886,110062,88512,160933,131541
2021-11-01T05:05,134536,131011,170120,121434,125148,91389,105873,125402,72297,93091,147546,67277,112442,129956,102073,124241,181280,130480,146215,118480,110236,67355,84436,173654,133109,166555,83060,87712,96882,171347,77056,113277,110915,123888,116629
2021-11-01T05:10,215007,217932,282108,161588,147482,228125,258648,219737,160884,149298,255135,128495,206615,250340,175747,197883,247840,220563,204657,208614,257425,115882,173484,230598,177067,189562,174619,166676,223014,229281,164677,238066,179092,239284,200337
2021-11-01T05:15,149897,158908,164445,118171,133806,123551,108543,161700,150752,95172,97171,78655,123885,147642,125235,94809,167496,146078,106398,122478,147907,103753,113531,179228,114864,163193,96677,70147,161249,110235,92780,142394,95685,146579,87457
2021-11-01T05:20,208771,182477,148398,139260,166839,183972,192576,216249,167954,63564,149061,65760,163435,172059,145083,138032,234455,236030,197408,183847,204067,121370,141437,175643,150490,249545,80996,130963,173894,151698,107808,196105,190825,267344,119056
2021-11-01T05:25,125438,186703,131204,103045,134275,96608,144648,189287,137001,95903,122768,90563,123238,127193,109311,131331,111656,166802,137308,150549,156717,107528,89966,203337,67736,156184,50166,112594,113253,143953,122563,87351,117217,127719,99227
2021-11-01T05:30,143621,139199,146037,85611,102838,129538,139922,152457,132605,116727,119253,82825,97168,151179,101293,97425,166639,108160,107165,98337,172759,95844,88798,165565,120495,132850,66433,140948,92895,132369,84889,104839,97171,155460,113624
2021-11-01T05:35,140550,145983,134387,119083,122071,151724,176833,214140,143466,146039,144733,88386,136491,166305,130261,116850,221436,198831,162444,162317,141135,128331,102865,160491,143658,170184,98151,115015,118490,187838,131689,152733,113434,179373,95464
2021-11-01T05:40,153739,113359,207376,75742,184904,113139,152794,106037,128905,139562,186158,81335,139982,124434,88970,131202,213853,199992,213928,111031,183240,121124,112422,198096,188813,122697,85492,120998,140211,144145,86593,148549,153237,173046,140294
2021-11-01T05:45,140942,114852,177916,119679,143733,146322,156747,133712,116579,113451,113032,111423,132457,161720,120064,153038,121468,108232,0,134301,99283,74089,120292,141554,152586,115859,80471,114371,86978,108561,97520,195080,151036,152380,90237
2021-11-01T05:50,156519,187174,196039,131599,140961,190263,137415,206453,176361,82441,168106,97282,206851,179885,138679,153937,207263,145829,248589,228326,130280,139934,128532,240394,178173,220058,138396,100046,125987,161115,121288,211349,138423,244540,152360
2021-11-01T05:55,235010,179499,283171,204634,192430,152986,184789,149576,191425,168831,177789,79247,164020,282984,177270,158971,250479,224573,213314,169992,202849,168281,170536,202705,261735,196602,138678,174643,168475,246248,175262,0,173864,255386,131630
2021-11-01T06:00,122403,115168,129438,91265,93004,145512,84562,119343,78245,81538,108060,80303,101646,111292,70079,74570,119925,122117,87496,123751,78255,54721,76603,99574,64662,96803,57087,79621,101728,102520,63120,105824,111977,129129,112018
2021-11-01T06:05,123378,137079,140698,95699,81615,125749,127401,185696,116752,108060,100282,69212,117322,112134,112413,128914,141257,126002,161050,123960,125322,82157,83922,115948,106784,163093,67908,89444,88554,138301,90522,118764,120975,143238,117491
2021-11-01T06:10,141525,214086,194746,116175,137901,174275,171285,157189,166579,111687,168855,119561,144616,208173,136577,119119,210459,185154,129988,149728,131517,137392,209643,186728,126128,176181,90383,117192,98801,141344,142314,212309,130601,215353,127717
2021-11-01T06:15,94057,90360,100383,84890,87380,115489,75869,136186,116303,65098,81943,81126,85094,85161,93173,114970,101594,95248,103055,107361,128668,95037,76937,94689,125168,105583,73758,88530,102167,72763,73702,135693,120296,115453,66433
2021-11-01T06:20,117307,70102,146151,73943,71709,106622,82274,119134,88663,92824,80529,79152,90169,114170,83355,94829,0,81812,80950,131547,88680,76637,45870,105323,92058,101496,42200,73335,86065,100524,37101,103401,110235,126747,100746
2021-11-01T06:25,130718,164258,147862,169161,142592,158073,182144,168171,118762,112788,176356,103826,192968,144310,160998,181202,216326,192353,156722,228735,186860,133054,149118,167851,191953,156360,55121,102545,132066,190744,88508,192436,152282,208474,124216
2021-11-01T06:30,151092,100407,114157,97847,59455,128620,92355,94081,78350,55575,89365,66541,111156,80299,99641,78701,96327,88463,89840,88471,110583,85022,91281,115047,111995,136015,55956,63245,80805,121127,65906,74637,101742,108710,68260
2021-11-01T06:35,133333,189360,287049,146178,177490,198045,150771,240168,159752,125375,141402,135411,191997,162789,127060,150388,167264,149609,153944,155593,222713,147409,168411,199528,197872,190264,105040,152236,187440,162222,153269,177823,137900,221843,127656
2021-11-01T06:40,211915,172829,271008,133364,187462,191010,157842,259074,249990,150744,97927,44578,194148,131743,155801,153138,296711,135586,198941,170544,211486,117226,147476,270008,193830,185598,74348,95458,185404,199995,170391,191204,153816,158108,119622
2021-11-01T06:45,183352,253047,301158,174320,198309,199574,189910,194324,191736,134028,151007,102496,138603,134164,176969,130566,230840,177783,275190,190224,198008,149316,147073,222540,202864,230180,74527,166719,206386,176766,144743,186572,181601,219866,137769
2021-11-01T06:50,201415,160684,181227,123739,148178,147560,150840,163412,101959,67936,163842,68731,129801,149914,113305,93529,180646,149243,136195,134280,147722,106124,74378,164339,161940,158204,80539,134921,122954,234855,88698,125756,107617,182501,147111
2021-11-01T06:55,191747,214188,225600,132280,185111,148509,228634,312887,212878,193855,142822,119050,210685,162230,160977,210565,252727,214344,147398,195192,168358,119689,165095,209982,229312,226246,121443,131068,142960,194494,140416,203926,209872,225906,211251
2021-11-01T07:00,64317,82512,95893,42082,75829,74222,66908,84046,68432,50267,69532,31781,60808,46954,80662,59616,0,115682,75275,57016,67837,0,64337,67938,69406,86504,28532,74266,52977,78539,54485,83665,47684,95433,70329
2021-11-01T07:05,151985,130425,216191,116867,104267,172107,131810,123754,92422,139812,111626,96612,109851,174340,126721,99843,166272,147770,166682,128440,130197,90877,147401,155929,97368,162190,86025,90216,135927,183191,108385,135933,154849,180929,79038
2021-11-01T07:10,129802,124501,222975,114097,104519,158398,124363,189092,157436,66489,124892,100217,100319,167861,137885,102883,156701,171084,141524,180732,157071,85173,110676,156352,200296,158443,93058,104096,127540,151880,111373,174905,111142,180688,129097
2021-11-01T07:15,135839,128070,141076,120571,126858,160884,125552,133462,146311,100914,68025,81824,105396,100233,95914,120906,159682,134459,170721,107519,176207,92423,118264,153458,84104,132179,68953,87193,100781,133637,82019,113345,80707,148007,98532
2021-11-01T07:20,128966,96969,149537,124227,122914,120994,99566,107313,120139,91261,0,89245,98324,113124,105142,0,112238,135144,125924,111761,121123,75302,92175,116746,89439,150169,50073,79661,60577,142627,91617,126963,124657,159670,106307
2021-11-01T07:25,113484,135605,110250,81194,77994,97161,100191,128698,65174,63091,106464,83268,114413,90067,71114,124874,143217,111390,81953,106389,125539,45129,76810,105155,110976,143822,76121,78113,86195,113503,95706,94332,89102,127112,87106
2021-11-01T07:30,164843,123726,162323,113424,136784,109381,125825,210310,117554,101279,89056,143653,134738,148048,137546,130930,121990,168693,134275,0,175111,110707,98877,158588,146954,144460,83289,88209,0,172829,114610,179149,168952,174892,156608
2021-11-01T07:35,259095,222565,268763,136936,210456,226401,210998,210673,178363,115712,157979,148648,169715,188273,186367,98403,208220,282836,182136,258728,171321,135692,149086,161053,264087,229044,117777,217636,182463,218116,130250,196401,251111,265688,219230
2021-11-01T07:40,153609,164443,195587,85928,135970,92156,119540,183210,142960,68362,132611,114771,182506,177152,152032,140439,219228,148204,165818,164717,172067,69441,118474,187908,183313,148838,65393,144549,0,132908,0,176061,149900,184595,115358
2021-11-01T07:45,133674,163634,175884,121936,190343,170455,114783,222592,128752,158746,164359,122935,122647,170922,189612,168388,225664,204731,190819,210079,127354,108569,187182,201202,115771,175335,65851,125822,145071,162882,119244,191403,140468,191642,114114
2021-11-01T07:50,175962,141686,156391,116584,120647,120923,133355,182807,153687,70249,126728,62985,96937,120503,93007,124622,140318,146125,115953,135418,133879,104908,95039,147185,197214,122550,107844,88053,122692,161266,88037,119735,106398,150956,64535
2021-11-01T07:55,162411,193365,278407,144712,156629,218811,150522,286365,134745,122904,141796,133658,203761,223603,187523,147196,278454,221621,178616,213027,206100,122210,181355,198321,132361,152734,101958,147365,203741,176889,144896,187661,152032,249468,194534
2021-11-01T08:00,183692,111640,122326,141229,124843,153731,137405,167093,120612,140158,142639,67836,159194,143132,145023,88483,184933,153449,127822,159649,181106,120312,153980,226342,171598,110051,116975,122223,140480,160930,101948,171689,150520,187731,142892
2021-11-01T08:05,38531,55351,50478,56303,44374,62690,37110,65985,45106,52943,55645,30353,41813,37361,58273,51526,0,70344,85416,47380,0,35534,69693,71782,71719,61367,37057,47562,52441,68035,36826,71555,55426,69557,55881
2021-11-01T08:10,193174,177129,258321,125781,188585,211577,213063,263679,167951,133884,203094,75305,194019,165829,175725,120325,272003,149135,221122,187307,172780,128197,119565,226701,219205,196557,72222,184625,208869,176995,189544,180466,154298,236619,155823
2021-11-01T08:15,103402,106399,96575,80415,94349,82932,59699,113528,76938,64061,68697,47232,78236,74378,86109,77334,144795,108125,118876,87274,80136,54578,76169,102850,84804,83448,52170,63162,66976,104955,60194,138374,87107,107858,66896
2021-11-01T08:20,257072,229367,258428,154021,235903,163443,268787,314968,173333,140755,206420,180696,248312,237612,136332,182968,263578,189156,296626,240870,207355,129793,246912,241501,254834,215036,134211,179208,187347,275860,178950,230424,231507,261721,183208
2021-11-01T08:25,174457,179846,245985,103917,156776,147014,140085,113580,87188,144305,168572,80537,118498,142060,138426,136757,176642,154120,173793,131190,141938,99555,174881,229281,166885,177676,76487,155328,123727,113690,83328,156104,174316,189629,128444
2021-11-01T08:30,156872,105418,167982,120686,111350,88238,83508,147816,95885,58612,98394,105869,101892,82140,98434,94696,169418,99842,153568,163803,127358,70312,115342,156113,146955,156731,74430,138771,117634,143771,103361,139610,116367,114487,146588
2021-11-01T08:35,226395,177469,252680,160188,227919,213609,216275,299067,193142,144163,187158,123522,198609,212276,180844,202207,237463,247888,243321,263734,241998,120624,194455,306937,252276,266428,179896,130757,141828,197519,112949,242317,218039,280007,207126
2021-11-01T08:40,175893,193113,224832,145949,184875,172655,131782,256049,136298,0,142210,142994,167558,134640,165460,149989,185916,178027,158691,159538,159738,116001,169485,169467,154344,190455,99858,117902,141519,204103,116068,182923,177591,156898,145716
2021-11-01T08:45,176250,121048,190360,126765,110928,143586,144771,160022,158200,132318,142110,78099,151680,125868,124475,151029,228118,161785,171786,164417,213914,101018,121917,193554,162450,157451,62704,149468,127889,174067,101526,187615,197804,260667,140037
2021-11-01T08:50,121950,141146,119984,101353,132836,160979,124996,183735,166669,84089,143243,88994,140415,165559,129702,167110,182862,171685,174459,117760,140720,110652,118503,221583,144475,175126,82805,99244,109431,145095,87122,175174,69103,185651,138087
2021-11-01T08:55,197712,98391,138799,130046,139630,170342,185616,194097,129978,97365,192091,109864,93216,135242,150272,139441,168701,190438,131131,155930,142935,110496,82424,224785,184422,189024,122954,124693,180696,194376,96691,155615,170882,173354,142031
2021-11-01T09:00,104338,111551,164746,69354,76070,107083,122849,145155,111215,86339,102244,108436,98186,106460,78992,0,161564,140805,136437,125190,96293,93636,90508,121798,97288,151130,69070,86535,120368,95178,92171,88545,118611,115316,95740
2021-11-01T09:05,165347,229040,231771,171087,152427,199217,196373,212702,125074,108615,124093,112251,171077,171452,157734,137426,224436,152439,269820,202381,187125,96898,99911,248690,195975,211643,58326,107294,110106,0,198777,150617,150755,222831,167839
2021-11-01T09:10,106740,133774,125339,101757,104620,121693,79537,134791,85866,64357,100610,60582,135017,122717,88317,104367,192368,128364,115800,107440,111927,71180,82966,143263,129722,144097,86411,91490,103364,99591,85273,143589,83999,177310,73380
2021-11-01T09:15,201820,142019,137369,122897,134672,184125,143608,205812,155735,151936,127576,138919,107815,129610,117875,92111,189897,188102,116606,170787,166829,123600,144818,194305,154276,200589,88086,106711,124855,125678,90530,92480,89551,163510,94608
2021-11-01T09:20,113641,126467,145700,108079,135112,137250,100035,113314,100289,63094,120164,86330,131960,149114,102719,99380,136448,115179,116033,145909,104091,85272,97061,150097,124843,150991,58170,96737,139696,153862,95596,125387,112628,154541,91739
2021-11-01T09:25,156952,149899,195892,149322,146408,174943,110660,177353,139432,130801,146604,110246,101675,202564,138788,189529,206425,191685,189986,180020,145458,134630,202945,181164,170240,148703,54267,163338,138125,138909,115437,173661,190033,229037,138670
2021-11-01T09:30,139551,176584,208495,132461,139027,128515,136833,142339,141813,98258,147980,103881,166813,167510,114756,169032,214578,119281,169101,178559,162394,92068,125674,169619,152403,203515,125513,116966,170645,194264,110609,168687,96206,201352,113934
2021-11-01T09:35,104697,142452,137307,109142,127339,106369,88650,125082,132956,72274,101739,87724,112143,107516,115447,110711,121962,123086,108131,140437,146710,122629,108464,148010,126433,100792,51133,70133,119877,124961,55302,170250,95814,163148,85668
2021-11-01T09:40,129601,177861,197206,139581,113452,117698,137327,174385,148560,150660,147391,88752,186853,164979,142104,131842,179208,141559,110654,127200,200129,187804,164819,164249,187228,88438,64646,189107,110513,136800,143335,197597,0,207736,153465
2021-11-01T09:45,145647,142876,161891,135413,132282,148750,93640,160620,152594,119700,172016,94920,119456,99836,77834,109706,207063,134485,210994,152956,96306,119212,148227,122732,150850,115206,83249,81023,152804,171162,124940,136524,89441,177116,110603
2021-11-01T09:50,129101,96478,179043,120390,108037,109082,99079,90534,104795,87829,91204,68169,112072,98548,117250,96145,113087,114172,144674,133284,132867,87536,66916,137916,124170,139448,81878,93339,136966,109844,76759,160392,103815,146596,77096
